obra;mes_ano
G002;07/2015
G002;08/2015
G002;09/2015
G002;10/2015
G002;11/2015
G002;12/2015
G002;01/2016
G002;02/2016
G002;03/2016
G002;04/2016
G002;05/2016
G002;06/2016
G002;07/2016
G002;08/2016
G002;09/2016
G002;10/2016
G002;11/2016
G002;12/2016
G002;01/2017
G002;02/2017
G002;03/2017
G002;04/2017
G002;05/2017
G002;06/2017
G002;07/2017
G002;08/2017
G002;09/2017
G002;10/2017
G002;11/2017
G002;12/2017
G002;01/2018
G002;02/2018
G002;03/2018
G002;04/2018
G002;05/2018
G002;06/2018
G002;07/2018
G002;08/2018
G002;09/2018
G002;10/2018
G002;11/2018
G002;12/2018
G002;01/2019
G002;02/2019
G002;03/2019
G002;04/2019
G002;05/2019
G002;06/2019
G002;07/2019
G002;08/2019
G002;09/2019
G003;12/2015
G003;01/2016
G003;02/2016
G003;03/2016
G003;04/2016
G003;05/2016
G003;06/2016
G003;07/2016
G003;08/2016
G003;09/2016
G003;10/2016
G003;11/2016
G003;12/2016
G003;01/2017
G003;02/2017
G003;03/2017
G003;04/2017
G003;05/2017
G003;06/2017
G003;07/2017
G003;08/2017
G003;09/2017
G003;10/2017
G003;11/2017
G003;12/2017
G003;01/2018
G003;02/2018
G003;03/2018
G003;04/2018
G003;05/2018
G003;06/2018
G003;07/2018
G003;08/2018
G003;09/2018
G003;10/2018
G003;11/2018
G003;12/2018
G003;01/2019
G003;02/2019
G003;03/2019
G003;04/2019
G003;05/2019
G003;06/2019
G003;07/2019
G003;08/2019
G003;09/2019
G003;10/2019
G003;11/2019
G003;12/2019
G003;01/2020
G003;02/2020
G003;03/2020
G003;04/2020
G003;05/2020
G003;06/2020
G003;07/2020
G003;08/2020
G003;09/2020
G003;10/2020
G003;11/2020
G003;12/2020
G003;01/2021
G003;02/2021
G003;03/2021
G004;12/2015
G004;01/2016
G004;02/2016
G004;03/2016
G004;04/2016
G004;05/2016
G004;06/2016
G004;07/2016
G004;08/2016
G004;09/2016
G004;10/2016
G004;11/2016
G004;12/2016
G004;01/2017
G004;02/2017
G004;03/2017
G004;04/2017
